nhd_id,nhd_name,nhd_ftype,nhd_layer,unique_sources,unique_wells,volume_Mgal,median_score,median_dist_km
73870634,Wheeling Creek,558.0,flowline,5,18,18.32,100.0,11.2
66905177,Pine Marsh Creek,460.0,flowline,1,7,15.21,82.35294117647058,43.0
61116727,West Branch Susquehanna River,558.0,flowline,3,3,14.32,100.0,9.3
25995928,Synder Pond,390.0,waterbody,2,6,13.94,90.9090909090909,5.6
66395935,East Branch Wyalusing Creek,460.0,flowline,2,3,13.48,87.5,6.6
126223833,Brush Creek,558.0,flowline,1,2,13.23,100.0,7.2
73877782,Fish Creek,558.0,flowline,1,1,12.19,100.0,27.1
48522466,Seeley Creek,558.0,flowline,4,57,11.67,100.0,10.4
123918556,Beaver River,558.0,flowline,2,1,11.66,80.0,7.1
123860848,Sandy Lick Creek,460.0,flowline,2,2,11.48,100.0,24.3
66403211,Towanda Creek,558.0,flowline,2,2,10.77,100.0,2.0
66408453,Sugar Hollow Creek,460.0,flowline,8,31,9.74,80.0,45.3
73870318,Ohio River,558.0,flowline,1,2,9.38,100.0,20.1
102663189,West Branch Clarion River,460.0,flowline,1,4,9.18,100.0,2.1
123861490,Little Mahoning Creek,558.0,flowline,1,1,7.5,100.0,3.8
99414716,Ruff Creek,558.0,flowline,3,3,7.4,100.0,4.199999999999999
46465047,Choconut Creek,460.0,flowline,8,45,7.27,100.0,5.7
57353137,Fall Brook,460.0,flowline,1,2,7.02,100.0,0.3
66907851,Loyalsock Creek,558.0,flowline,2,4,6.52,100.0,30.549999999999997
65642067,Susquehanna River,558.0,flowline,2,6,6.12,100.0,54.9
66409277,Mehoopany Creek,558.0,flowline,1,2,6.05,100.0,4.8
123971719,Little Buffalo Creek,460.0,flowline,1,7,5.66,100.0,3.8
64191442,Rubles Run,460.0,flowline,1,3,5.46,100.0,3.1
102671441,Clarion River,558.0,flowline,1,1,4.84,100.0,2.2
48522844,Chemung River,558.0,flowline,2,10,4.76,100.0,13.8
57351249,Elk Run,460.0,flowline,1,4,4.62,100.0,0.8
66408573,Sugar Hollow Creek,460.0,flowline,4,5,4.58,80.0,25.5
123861796,East Branch Mahoning Creek,460.0,flowline,1,1,4.55,100.0,1.5
61424412,First Fork Sinnemahoning Creek,460.0,flowline,1,1,4.21,100.0,5.7
123720029,Two Lick Creek,558.0,flowline,1,1,3.65,100.0,3.9
25975242,PA-477 Reservoir,390.0,waterbody,1,7,3.45,85.71428571428572,8.1
57353315,Johnson Creek,460.0,flowline,1,1,3.33,81.25,0.9
73868898,Little Wheeling Creek,460.0,flowline,1,1,3.07,100.0,1.4
66411119,South Branch Bowman Creek,460.0,flowline,1,22,2.94,83.72093023255813,59.8
61432022,Bennett Branch Sinnemahoning Creek,460.0,flowline,1,1,2.0,100.0,3.4
112368875,Allegheny River,558.0,flowline,1,1,1.64,100.0,23.4
130025394,Deer Creek,460.0,flowline,2,3,1.62,100.0,1.0
67176506,Beech Creek,558.0,flowline,1,4,1.51,100.0,7.6
66398139,Tinker Creek,460.0,flowline,1,1,1.5,81.81818181818181,46.9
43490309,Salt Lick Creek,558.0,flowline,1,3,1.39,100.0,0.6
43490693,Salt Lick Creek,558.0,flowline,1,10,1.31,100.0,20.4
73869688,Middle Wheeling Creek,460.0,flowline,1,2,1.24,100.0,2.0
48523828,Fall Creek,558.0,flowline,1,1,1.12,86.95652173913044,56.5
66409697,Keeler Creek,460.0,flowline,1,13,1.09,83.33333333333334,50.1
48522408,Seeley Creek,558.0,flowline,3,15,0.85,100.0,12.2
66400619,Wyalusing Creek,558.0,flowline,1,1,0.81,100.0,10.1
112377615,Potato Creek,558.0,flowline,1,1,0.46,100.0,6.1
66403839,Tunkhannock Creek,558.0,flowline,2,4,0.45,100.0,33.5
27069769,Monongahela River,558.0,flowline,2,3,0.24,100.0,45.3
66540295,Flicks Run,558.0,flowline,3,2,0.18,86.95652173913044,10.4
99693284,Chartiers Run,460.0,flowline,1,1,0.16,100.0,1.4
73876296,Grave Creek,460.0,flowline,2,7,0.05,84.61538461538461,44.1
69916497,Youghiogheny River,558.0,flowline,2,5,0.05,100.0,15.6
99686114,Ohio River,558.0,flowline,1,4,0.04,100.0,66.0
99412598,Tenmile Creek,558.0,flowline,1,8,0.03,100.0,20.6
43488395,Susquehanna River,558.0,flowline,1,2,0.03,100.0,25.6
66402523,Ellis Creek,460.0,flowline,1,5,0.02,83.33333333333334,29.3
46465811,Wappasening Creek,460.0,flowline,1,4,0.01,100.0,3.5
66540195,Texas Creek,558.0,flowline,1,4,0.01,100.0,50.9
65630763,Lackawanna River,558.0,flowline,1,1,0.0,100.0,27.6
66409425,Bowman Creek,558.0,flowline,1,1,0.0,80.0,45.7
99693406,Cross Creek,558.0,flowline,1,1,0.0,100.0,10.4
