planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
Heironimus,surface_water,,ambiguous,45.98,eqt prod co,55.5555555556,IRON RUN,surface_water
Mama Bear P1,surface_water,,ambiguous,45.92,eqt prod co,57.1428571429,BEAR CREEK,surface_water
Brown SWW,surface_water,,dont_know,31.14,chesapeake appalachia,58.8235294118,BROWNS CREEK,surface_water
KGS (Yough @ Smithton) - Source 70,surface_water,,ambiguous,21.97,eqt chap,55.5555555556,YOUGH RIV DIV,surface_water
Mehopany SWW,surface_water,,dont_know,5.27,chesapeake appalachia,52.1739130435,MESHOPPEN CREEK,surface_water
Keystone Lycoming SWW,surface_water,,dont_know,2.28,seneca resources co,72.7272727273,LYCOMING CREEK,surface_water
Huff SWW (by Anadarko in 2013),surface_water,,dont_know,0.01,eqt aro,51.1627906977,LYCOMING CREEK -HUFF,surface_water
Powhattan Point OH,surface_water,,ambiguous,0.01,cnx gas co,51.8518518519,OHIO POND,surface_water
Powhattan Point Ohio,surface_water,,ambiguous,0,cnx gas co,61.5384615385,OHIO POND,surface_water
4. Powhattan Point OH,surface_water,,ambiguous,0,cnx gas co,53.3333333333,POND ON 14,surface_water
5. Powhattan Point Ohio,surface_water,,ambiguous,0,cnx gas co,61.5384615385,OHIO POND,surface_water
Isbell Take Point,surface_water,,ambiguous,13.04,blackhill energy,66.6666666667,ISABELLE LAKE,surface_water
Rockdale Fresh,surface_water,,ambiguous,11.25,rockdale marcellus,72.7272727273,ROCKDALE MARCELLUS LLC LYCOMING CREEK INTC,interconnection
Ten Mile - Cogar,surface_water,,ambiguous,5.51,eqt prod co,72.7272727273,UPPER TEN MILE CREEK,surface_water
"WPX Hallstead, Susquehannna [SRBC Oocket Number 20130613]",surface_water,,ambiguous,3.38,coterra energy,62.3655913978,SWN PROD CO SUSQUEHANNA RIVER @ HALLSTEAD INTC,interconnection
Wysox Take Point,surface_water,,ambiguous,3.26,blackhill energy,58.064516129,RESEVOIR INTAKE,surface_water
Healthy Properites Take Point,surface_water,,ambiguous,3.24,blackhill energy,69.8412698413,HEALTHY PROPERTIES INC SUGAR CREEK INTC,interconnection
Susquehanna #2 (Susquehanna Depot] [5RBC Docket Number 20120903],surface_water,,ambiguous,0.39,coterra energy,77.5510204082,SUSQUEHANNA RIVER-2 (SUSQ. DEPOT),surface_water
Westfield Bailey Water Draw,surface_water,,ambiguous,0.29,swepi,75,BAILEY SW4,surface_water
ODELL,,,ambiguous,21.08,swn prod co,76.9230769231,WELL OLD,groundwater
FRS,,,ambiguous,15.49,coterra energy,66.6666666667,RES,surface_water
EASTERN REAGION WMP #269846-04 MESSHOPPEN CROOK,,,ambiguous,9.51,carrizo,57.1428571429,MESHOPPEN CREEK (BROOKS) @ SPRINGVILLE TWP,surface_water
LDG Water Draw,,,ambiguous,8.61,swepi,68.75,DELAWARE WATER GAP,interconnection
STUNNER / SMITH,,,ambiguous,8.43,inflection energy,62.5,SMITH CREEK,surface_water
RES Butler,,,ambiguous,8.15,xto energy,75,PA AMER WATER CO BUTLER (JEFFERSON TWP) INTC,interconnection
YOUNG EXTRACTION,,,ambiguous,7.75,swn prod co,76.9230769231,LTP EXTRACTION WELL,groundwater
Laurel Mountain,,,ambiguous,7.17,inr opr,78.7878787879,BLUE MOUNTAIN WELL,groundwater
Limbach Lane,,,ambiguous,7,pennenergy resources,63.6363636364,LAKE WILMA,surface_water
Shell,,,ambiguous,6.5,rockdale marcellus,72.7272727273,WELL H,groundwater
WB-3,,,ambiguous,6.45,eqt aro,75,PW-3,groundwater
Fox Whitney Drive,,,ambiguous,5,pennenergy resources,78.5714285714,PA AMER BUTLER DIST FOX-WHITNEY DR INTC SOURCE 4,interconnection
Greylock Genesee Forks (SRBC 20240311),,,ambiguous,4.71,greylock prod,78.7878787879,GENESEE FORKS - NAUMAN,surface_water
