planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
Freshwater Trannsfer from Smith R Pad 4,reuse,,ambiguous,0.32,coterra energy,62.5,SMITH CREEK,surface_water
Freshwater pad transfer from Abbott D P2 and Carpenetti R P1*,reuse,,ambiguous,0.32,coterra energy,76.1904761905,MINE TRANSFER,groundwater
Freshwater Pad Transfer from Burke G P1*,reuse,,ambiguous,0.22,coterra energy,76.1904761905,MINE TRANSFER,groundwater
TI-04 LEPLEY PAD,reuse,,ambiguous,0.21,swn prod co,51.8518518519,LEAPLEY RUN,surface_water
Various Chief/Rockdale Pads,reuse,,ambiguous,0.2,pa gen energy co,61.2244897959,ROCKDALE MARCELLUS LLC INTC,interconnection
TI-07 CUPPER PAD,reuse,,ambiguous,0.16,swn prod co,51.4285714286,PA AMER WATER INTC 35371,interconnection
Various Rockdale/Chief Pads,reuse,,ambiguous,0.15,pa gen energy co,61.2244897959,ROCKDALE MARCELLUS LLC INTC,interconnection
RU-42 KROPFF PAD,reuse,,ambiguous,0.14,swn prod co,51.4285714286,PA AMER WATER INTC 35412,interconnection
CHK Rylee Pad,reuse,,ambiguous,0.13,chesapeake appalachia,60,HARE CK,surface_water
5. TI-07 Cupper Pad,reuse,,ambiguous,0.13,swn prod co,50,NUMBER 15 STORAGE POND,surface_water
BKV Containment Water (Various Pads),reuse,,ambiguous,0.11,bkv opr,66.6666666667,RAIN WATER,surface_water
CHK Brewer Pad,reuse,,ambiguous,0.1,chesapeake appalachia,66.6666666667,BEAVER CK DIV,surface_water
CHK Porter Pad,reuse,,ambiguous,0.1,chesapeake appalachia,61.5384615385,TRIB PARK CK,surface_water
6. TI-04 Lepley Pad,reuse,,ambiguous,0.09,swn prod co,51.2820512821,LIVERPOOL WP 2 POND 2,groundwater
TI-04 Lepley Pad,reuse,,ambiguous,0.08,swn prod co,51.8518518519,LEAPLEY RUN,surface_water
CHK Dunny Pad,reuse,,ambiguous,0.06,chesapeake appalachia,63.6363636364,DUNBAR CK,surface_water
CHK Cappucci/EDF Pad,reuse,,ambiguous,0.06,chesapeake appalachia,54.5454545455,PONDS A C D F,surface_water
Chief Raimo Pad,reuse,,ambiguous,0.05,pa gen energy co,68.75,CHIEF OIL AND GAS INTC,interconnection
"5. RU-64 Boman Pad - 14,280, RU-60 Herman Pad - 21,840",reuse,,ambiguous,0.04,swn prod co,66.6666666667,W 21,groundwater
4. Various Other Operators Pads,reuse,,ambiguous,0.03,pa gen energy co,52.4590163934,PA AMER WATER CO CANTON MTR VLT SOURCE 147 INTC,interconnection
LU-09 Good West Pad,reuse,,ambiguous,0.03,swn prod co,61.5384615385,WEST WELL,groundwater
CHK Tinna Pad,reuse,,ambiguous,0.03,chesapeake appalachia,64,TRIB PARK CK,surface_water
"LU-05 Loch Pad (9,240 gals) & LU-08 Good Pad (25,200 gals)",reuse,,ambiguous,0.03,swn prod co,57.1428571429,RW-25,groundwater
CHK Hope Pad,reuse,,ambiguous,0.02,chesapeake appalachia,61.5384615385,POND - 15TH HOLE,surface_water
Freshwater pad transfer from Adams J P1*,reuse,,ambiguous,0.02,coterra energy,76.1904761905,MINE TRANSFER,groundwater
CHK Hooker Pad,reuse,,ambiguous,0.02,chesapeake appalachia,59.2592592593,CROOKED CREEK,surface_water
"4. RU-13 Tonya East Pad - 4,620, RU-31 Scott Pad 4,620",reuse,,ambiguous,0.01,swn prod co,61.5384615385,EAST POND,surface_water
Freshwater pad transfer from Adams JP1*,reuse,,ambiguous,0.01,coterra energy,76.1904761905,MINE TRANSFER,groundwater
CHK Grippo Pad,reuse,,ambiguous,0.01,chesapeake appalachia,52.1739130435,OHIO POND,surface_water
CHK Cuthbertson Pad,reuse,,ambiguous,0.01,chesapeake appalachia,56.25,BERN TWP AUTH INTC,interconnection
CHK Bim Bra Pad,reuse,,ambiguous,0.01,chesapeake appalachia,58.064516129,E BR ANTIETAM CK,surface_water
CHK Elevation Pad,reuse,,ambiguous,0.01,chesapeake appalachia,60.6060606061,AQUA PA EMLENTON INTC,interconnection
CHK TGS Holdings Pad,reuse,,ambiguous,0.01,chesapeake appalachia,54.5454545455,MAHONING CREEK ( PERRY TWP),surface_water
CHK Yost Pad,reuse,,ambiguous,0,chesapeake appalachia,58.3333333333,TRIB PARK CK,surface_water
6. WY-09 Otten Pad,reuse,,ambiguous,0,swn prod co,52.9411764706,RW 209 PGW BORDER,groundwater
CHK Jack Pad,reuse,,ambiguous,0,chesapeake appalachia,63.6363636364,JACKS POND,surface_water
CHK EDF Pad,reuse,,ambiguous,0,chesapeake appalachia,58.3333333333,LIZARD CK DIV,surface_water
CHK Franclaire Pad,reuse,,ambiguous,0,chesapeake appalachia,54.5454545455,LITTLE SANDY CK,surface_water
CHK Sivers Pad,reuse,,ambiguous,0,chesapeake appalachia,64,CHEAT RIVER,surface_water
CHK Mowry Pad,reuse,,ambiguous,0,chesapeake appalachia,56,POND 9 LOWER,surface_water
CHK Ramblinrose Pad,reuse,,ambiguous,0,chesapeake appalachia,54.5454545455,SWN PROD CO ROBINSON FORK INTC,interconnection
CHK Cannella Pad,reuse,,ambiguous,0,chesapeake appalachia,51.8518518519,CANOE CREEK,surface_water
CHK Allen Pad,reuse,,ambiguous,0,chesapeake appalachia,60.8695652174,LYNCH POND,surface_water
HINKLE-SWN NR-23 FOUR BUCKS AST,reuse,,ambiguous,33.44,swn prod co,57.1428571429,RW-23,groundwater
HINKIE EXTRACTION,reuse,,ambiguous,18.71,swn prod co,74.0740740741,LTP EXTRACTION WELL,groundwater
Frac,reuse,,ambiguous,5.58,eqt chap,54.5454545455,SURFACE,surface_water
Alta,reuse,,ambiguous,3.84,rockdale marcellus,50,LAKE,surface_water
RES-Butler,reuse,,ambiguous,2.93,xto energy,75,PA AMER WATER CO BUTLER (JEFFERSON TWP) INTC,interconnection
KING NORTH NR-01,reuse,,ambiguous,2.74,swn prod co,66.6666666667,NORTH WELL,groundwater
LWI (Costello) / Bennett,reuse,,ambiguous,2.7,inflection energy,59.0909090909,LOYALSOCK CREEK(COSTELLO),surface_water
PPG,reuse,,ambiguous,2.39,inr opr,44.4444444444,SPRING,surface_water
PGE,reuse,,ambiguous,2.32,rockdale marcellus,46.1538461538,PORTAGE CR,surface_water
HINKLE- SWN NR-23 FOUR BUCKS AST,reuse,,ambiguous,2.26,swn prod co,57.1428571429,RW-23,groundwater
Fox's Water Srvc - Whitney Drive,reuse,,ambiguous,1.5,pennenergy resources,70,S & G PIT WATER,groundwater
EPT Percision Pipeline,reuse,,ambiguous,1.24,pa gen energy co,59.0909090909,QUARRY RETURN PIPELINE,surface_water
Impacted Water from C2G - Shaskas South (WMGR123NE003),reuse,,ambiguous,0.92,bkv opr,66.6666666667,RAIN WATER,surface_water
"RALSTON - 962,220 gals",reuse,,ambiguous,0.78,swn prod co,52.6315789474,091-GRAYSTONE WELL,groundwater
"C2G Energy Solutions, LLC",reuse,,ambiguous,0.66,swn prod co,70.2702702703,KEYSTONE CLEARWATER SOLUTIONS LLC MOSHANNON CK INTC,interconnection
"C2G ENERGY SOLUTIONS, LLC",reuse,,ambiguous,0.66,swn prod co,70.2702702703,KEYSTONE CLEARWATER SOLUTIONS LLC MOSHANNON CK INTC,interconnection
5. Frac Water,reuse,,ambiguous,0.6,eqt chap,73.6842105263,NORTH PENN WATER AUTH INTC 5,interconnection
4. Frac,reuse,,ambiguous,0.58,eqt chap,60,RW-4,groundwater
Rockdale Operated Sites,reuse,,ambiguous,0.44,swn prod co,55.8139534884,CROOKED CREEK SITE 2,surface_water
STL RESOURCES OPERATED SITES,reuse,,ambiguous,0.39,swn prod co,75,RANGE RESOURCES INTC,interconnection
Prager B 3H - API 37-019-226890,reuse,,ambiguous,0.29,xto energy,46.875,PHILADELPHIA WATER AUTH MTR 9421269 INTC,interconnection
Prager A 1H - API 37-019-226870,reuse,,ambiguous,0.29,xto energy,49.0566037736,PA AMER WATER INTC 2413927902,interconnection
5. ALTA OPERATED SITES,reuse,,ambiguous,0.25,swn prod co,55.5555555556,RV SITES WELL,groundwater
Rockdale Wells,reuse,,ambiguous,0.23,rockdale marcellus,72.7272727273,ROCKDALE MARCELLUS LLC LYCOMING CREEK INTC,interconnection
Beech Resources Operated Sites,reuse,,ambiguous,0.23,swn prod co,75,RANGE RESOURCES INTC,interconnection
Lesney Unit 5H-37-019-22697-00-00,reuse,,ambiguous,0.22,xto energy,50,SRC 5H,groundwater
Gas Field Specialists,reuse,,ambiguous,0.21,rockdale marcellus,60,SUSQUEHANNA GAS FIELD SVCS MESHOPPEN CREEK(SWIFT MART) INTC,interconnection
Winslow 5H - API 37-065-27079,reuse,,ambiguous,0.16,xto energy,50,SRC 5H,groundwater
7. JKLM OPERATED SITES,reuse,,ambiguous,0.16,swn prod co,55.5555555556,RV SITES WELL,groundwater
10. Rockdale Operated Sites,reuse,,ambiguous,0.15,swn prod co,57.1428571429,EW-10,groundwater
DEER PARK MOUNTAIN ENERGY (11/30/2016- 12/3/2016),reuse,,ambiguous,0.15,swn prod co,76.1904761905,1049 MOUNTAIN,groundwater
6. BEECH RESOURCES OPERATED SITES,reuse,,ambiguous,0.14,swn prod co,75,RANGE RESOURCES INTC,interconnection
11. HYDRORECOVERY,reuse,,ambiguous,0.14,swn prod co,78.7878787879,HYDRO RECOVERY LP INTC,interconnection
Winslow 6HU - API 37-065-27080,reuse,,ambiguous,0.13,xto energy,44.4444444444,WELL 37,groundwater
"Mieka, LLC Schimizzi S&M #1-Source #51",reuse,,ambiguous,0.13,eqt chap,70.3703703704,MIEKA LLC SCHIMIZZI WELL PAD IMPOUNDMENT INTC,interconnection
Alta Resources Operated Sites,reuse,,ambiguous,0.12,swn prod co,75,RANGE RESOURCES INTC,interconnection
RANGE OPERATED STIES,reuse,,ambiguous,0.11,swn prod co,62.8571428571,RANGE RESOURCES INTC,interconnection
C2G Energy Solutions,reuse,,ambiguous,0.11,swn prod co,62.0689655172,KEYSTONE CLEARWATER SOLUTIONS LLC MOSHANNON CK INTC,interconnection
SWN OPEARTED SITES,reuse,,ambiguous,0.1,swn prod co,58.8235294118,PRESTRESS SPRING,groundwater
5. Beech Resources Operated Sites,reuse,,ambiguous,0.08,swn prod co,75,RANGE RESOURCES INTC,interconnection
AK Steel A 1H-37-019-22645-00-00,reuse,,ambiguous,0.08,xto energy,54.9019607843,"WELLS 3-8, 10-13, AND 16",groundwater
AK Steel A 2H-37-019-22646-00-00,reuse,,ambiguous,0.08,xto energy,50.9803921569,"WELLS 3-8, 10-13, AND 16",groundwater
